,ID,Target_url,Target_text,Image_url,label
0,Rtr0,https://www.reuters.com/,"People observe a minute of silence at the Trocadero in front the Eiffel Tower to pay tribute to the victims of the series of deadly attacks on Friday in Paris, France",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230525&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_LR2EBBG0VEMRC_RTRMADP_0_FRANCE-SHOOTING,REAL
1,Rtr1,https://www.reuters.com/,"Migrants and refugees wait to cross Greece's border with Macedonia, near the Greek village of Idomeni",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230479&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000196395_RTRMADP_0_EUROPE-MIGRANTS-GREECE,REAL
2,Rtr2,https://www.reuters.com/,"A tattoo on the knuckles of a Klansman reads �Love� as he participates with members of the Nordic Order Knights and the Rebel Brigade Knights, groups that both claim affiliation with the Ku Klux Klan, in a cross lighting ceremony on a fellow member's property in Henry County, Virginia, August 9, 2014 The Ku Klux Klan, which had about 6 million members in the 1920s, now has some 2,000 to 3,000 members nationally in about 72 chapters, or klaverns, according to the Southern Poverty Law Center, an organization that monitors extremist groups",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230470&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000160795_RTRMADP_0_USA-KKK,REAL
3,Rtr3,https://www.reuters.com/,"Shi'ite fighters fire a rocket during clashes with Islamic State militants in Salahuddin province, Iraq",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230516&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GM1EB341HPO01_RTRMADP_0_MIDEAST-CRISIS-IRAQ,REAL
4,Rtr4,https://www.reuters.com/,"Smoke and ash rise from the Calbuco volcano as seen from the city of Puerto Montt, April 22, 2015 The Calbuco volcano in southern Chile erupted for the first time in more than five decades in April, sending a thick plume of ash and smoke several miles into the sky",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230456&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000069347_RTRMADP_0_CHILE-VOLCANO,REAL
5,Rtr5,https://www.reuters.com/,"North Korean leader Kim Jong Un (3rd R) and wife Ri Sol Ju (4th L) enjoy an art performance given by the Chongbong Band to mark the 70th anniversary of the founding of the Workers' Party of Korea (WPK) in this undated photo released by North Korea's Korean Central News Agency (KCNA) in Pyongyang on October 19, 2015",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230488&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000250645_RTRMADP_0_NORTHKOREA-POLITICS,REAL
6,Rtr6,https://www.reuters.com/,"Singer Rihanna prepares for a photoshoot with photographer Annie Leibovitz in Havana May 28, 2015",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230443&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000110844_RTRMADP_0_CUBA-ENTERTAINMENT,REAL
7,Rtr7,https://www.reuters.com/,"Anti-gay protesters attack a gay rights activist during an LGBT community rally in central Moscow, Russia",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230457&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000112235_RTRMADP_0_RUSSIA-PROTEST,REAL
8,Rtr8,https://www.reuters.com/,"Palestinians place a red carpet between the ruins of houses, that witnesses said were destroyed by Israeli shelling during a 50-day war last summer, before they display a film on the war in the east of Gaza City May 12, 2015",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230445&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000092347_RTRMADP_0_ISRAEL-PALESTINIANS,REAL
9,Rtr9,https://www.reuters.com/,"Ghazal, 4, (L) and Judy, 7, carrying 8-month-old Suhair, react after what activists said was shelling by forces loyal to Syria's President Bashar al-Assad near the Syrian Arab Red Crescent center in the Douma neighborhood of Damascus May 6, 2015 The shelling happened during the visit by a Syrian Arab Red Crescent convoy to deliver medical aid to their center in Douma, activists aid",https://s1.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230449&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000085996_RTRMADP_0_MIDEAST-CRISIS-SYRIA,REAL
