,ID,Target_url,Target_text,Image_url,label
0,Snp1,https://www.snopes.com/,Fifteen homeless people in Chicago were found dead on the street because of record-low temperatures that hit the city in late January 2019.,"https://www.snopes.com/tachyon/2019/01/shutterstock_1285453522.jpg?resize=865,452",FAKE
1,Snp3,https://www.snopes.com/,A photograph shows four Democratic congresswomen posing with a portrait of Osama bin Laden and an ISIS flag.,"https://www.snopes.com/tachyon/2019/01/darlings.jpg?resize=600,711",FAKE
2,Snp4,https://www.snopes.com/,A photograph shows medalist Jim Thorpe wearing mismatched shoes at the 1912 Olympics. ,"https://www.snopes.com/tachyon/2019/01/jim-thorpe-fb-post.jpg?resize=800,649",REAL
3,Snp8,https://www.snopes.com/,A photograph shows a Covington Catholic High School basketball game with students wearing blackface and/or black body paint in the stands. ,"https://www.snopes.com/tachyon/2019/01/covington-crazies.jpg?resize=842,728",REAL
4,Snp9,https://www.snopes.com/,Photographs capture the archeological discovery of skeletal remains of giant humanoids. ,"https://www.snopes.com/tachyon/2019/01/giantland.jpg?resize=1333,974",FAKE
5,Snp10,https://www.snopes.com/,A photograph shows a woman snorting cocaine with her toddler.,"https://www.snopes.com/tachyon/2018/01/cocaineline.jpg?resize=865,452",FAKE
6,Snp11,https://www.snopes.com/,"A video shows a man vaporized instantly from electrocution and/or exposure to hydrofluoric or “sulfuric hydrofluoric"" acid.","https://www.snopes.com/tachyon/2019/01/manvape.png?resize=865,452",FAKE
7,Snp17,https://www.snopes.com/,"A video shows a frozen grape delicately submerged in a wine glass of water, which then instantly crystallized into a blob of ice around the grape.","https://www.snopes.com/tachyon/2019/01/ice-grape.png?resize=865,452",REAL
8,Snp19,https://www.snopes.com/,A photograph shows Barack Obama dressed as Lucifer for an 'Illuminati ritual.',"https://www.snopes.com/tachyon/2018/06/obama-dressed-as-satan-viral-m16618.jpg?resize=600,329",FAKE
9,Snp21,https://www.snopes.com/,"Photographs show a ""mummified"" dinosaur fossil discovered in Alberta, Canada.","https://www.snopes.com/tachyon/2018/12/nodosaur-wikimedia.jpg?resize=865,452",REAL
10,Snp23,https://www.snopes.com/,A photograph shows a genuine quintuple skull. ,"https://www.snopes.com/tachyon/2018/12/not-a-real-quintuple-skull-1.jpg?resize=600,555",FAKE
11,Snp26,https://www.snopes.com/,A photograph shows a couple protesting a Jewish man’s deportation from the U.S. back to Nazi Germany. ,"https://www.snopes.com/tachyon/2018/12/Screen-Shot-2018-12-10-at-11.29.01-AM.png?resize=498,719",REAL
12,Snp27,https://www.snopes.com/,A photograph shows former FBI director Robert Mueller meeting with former Ukrainian president Viktor Yanukovych in 2013.,"https://www.snopes.com/tachyon/2018/12/Screen-Shot-2018-12-10-at-9.28.49-AM.png?resize=494,783",REAL
13,Snp28,https://www.snopes.com/,A photograph shows President Trump kissing former senator Bob Dole on the forehead. ,https://www.snopes.com/tachyon/2018/12/trump-dole.jpg?w=633,REAL
14,Snp30,https://www.snopes.com/,President Trump failed to place his hand over his heart during George H.W. Bush's funeral. ,https://www.snopes.com/tachyon/2018/12/trump-hand-over-heart.jpg,FAKE
15,Snp32,https://www.snopes.com/,Photographs show a severely earthquake-damaged road in Alaska that was repaired in just a few days. ,"https://www.snopes.com/tachyon/2018/12/47342880_2114786665240785_1240456232339243008_n.jpg?resize=600,598",REAL
16,Snp34,https://www.snopes.com/,A video shows a sea cucumber that resembles a headless chicken. ,"https://www.snopes.com/tachyon/2018/12/noaa-sea-monster.jpg?resize=865,452",REAL
17,Snp40,https://www.snopes.com/,Sgt. Al Powell stopped a terrorist attack at Nakatomi Plaza on Christmas in 1988.,https://www.snopes.com/tachyon/2018/11/al-powell.jpg,FAKE
18,Snp43,https://www.snopes.com/,Jack and Rosie Riddle were photographed in 1948 accepting a radio from a group of Ku Klux Klan members.,"https://www.snopes.com/tachyon/2018/11/KKK-Jack-Riddle-photograph.jpeg?resize=600,600",REAL
19,Snp44,https://www.snopes.com/,A photograph shows astronaut Chris Hadfield holding a bag of marijuana aboard the International Space Station. ,"https://www.snopes.com/tachyon/2018/11/pics-in-history-nonsense.jpg?resize=600,543",FAKE
20,Snp45,https://www.snopes.com/,A video shows a busy intersection with numerous pedestrians and cyclists safely weaving through a stream of vehicular traffic.,"https://www.snopes.com/tachyon/2018/11/deathvacation.jpg?resize=1200,665",FAKE
21,Snp49,https://www.snopes.com/,A photograph captures a selfie Jimi Hendrix took with Jim Morrison and Bruce Lee.,https://www.snopes.com/tachyon/2018/11/45711232_10214991828443813_619594906993688576_n.jpg,FAKE
22,Snp51,https://www.snopes.com/,The intern who took away Jim Acosta's microphone at a White House Press Conference was actually Deputy Press Secretary Lindsay Walters.,"https://www.snopes.com/tachyon/2018/11/twitter-detective.jpg?resize=612,728",FAKE
23,Snp52,https://www.snopes.com/,The November 2018 California wildfires matched up “exactly” with the route of California’s proposed high speed railway.,"https://www.snopes.com/tachyon/2018/11/46192588_1075365762638034_4866582917171642368_n.jpg?resize=480,708",FAKE
24,Snp53,https://www.snopes.com/,Facebook is deleting an image of a cross carved in honor fallen firefighters.,https://www.snopes.com/tachyon/2018/11/38026291_1056775141144034_3063166728432254976_n.jpg,FAKE
25,Snp54,https://www.snopes.com/,"A “Wonderful Pistachios"" ad featured The Grinch touting the slogan “Green and salty. Just like my nuts.""",https://www.snopes.com/tachyon/2018/11/the-grinch.jpg,FAKE
26,Snp55,https://www.snopes.com/,Photographs show President Trump commemorating the 100th anniversary of the end of World War I at a cemetery in the rain.,"https://www.snopes.com/tachyon/2018/11/trumprain.jpg?resize=865,452&quality=65",REAL
27,Snp56,https://www.snopes.com/,"Several male students at Baraboo High School were photographed performing the Nazi ""Sieg Heil"" salute. ","https://www.snopes.com/tachyon/2018/11/hssalute.jpg?resize=865,452",REAL
28,Snp58,https://www.snopes.com/,Brenda Lee was forcibly removed from Air Force One by order of President Obama due to her pro-life views. ,"https://www.snopes.com/tachyon/2018/11/brenda-lee.jpg?resize=687,603",FAKE
