,caption,prob
0,a train is traveling down a track near a building.,"[5.0745617e-09 2.6295444e-05 9.9759775e-01 ... 2.1156795e-08 2.2926226e-08
 1.7077831e-08]"
1,a man is holding a tennis racket in a room.,"[6.0125798e-09 3.4341836e-05 9.9759859e-01 ... 2.5115520e-08 3.3746836e-08
 2.1788679e-08]"
2,a man is holding a tennis racket in a room.,"[6.0125798e-09 3.4341836e-05 9.9759859e-01 ... 2.5115520e-08 3.3746836e-08
 2.1788679e-08]"
3,a man is holding a tennis racket in a room.,"[6.0125798e-09 3.4341836e-05 9.9759859e-01 ... 2.5115520e-08 3.3746836e-08
 2.1788679e-08]"
4,a man is holding a tennis racket in a room.,"[6.0125798e-09 3.4341836e-05 9.9759859e-01 ... 2.5115520e-08 3.3746836e-08
 2.1788679e-08]"
5,a man is riding a skateboard on a sidewalk.,"[7.0951334e-09 4.5766792e-05 9.9722880e-01 ... 2.9699999e-08 3.7884998e-08
 2.4483919e-08]"
6,a man is riding a skateboard on a sidewalk.,"[7.0951334e-09 4.5766792e-05 9.9722880e-01 ... 2.9699999e-08 3.7884998e-08
 2.4483919e-08]"
7,a man is riding a skateboard on a sidewalk.,"[7.0951334e-09 4.5766792e-05 9.9722880e-01 ... 2.9699999e-08 3.7884998e-08
 2.4483919e-08]"
8,a man is riding a skateboard on a sidewalk.,"[7.0951334e-09 4.5766792e-05 9.9722880e-01 ... 2.9699999e-08 3.7884998e-08
 2.4483919e-08]"
9,a group of people standing on a bench in a park.,"[7.9437861e-09 4.3759945e-05 9.9718601e-01 ... 3.3805019e-08 4.4252911e-08
 2.8933776e-08]"
10,a group of people standing on a bench in a park.,"[7.9437861e-09 4.3759945e-05 9.9718601e-01 ... 3.3805019e-08 4.4252911e-08
 2.8933776e-08]"
11,a group of people standing on a bench in a park.,"[7.9437861e-09 4.3759945e-05 9.9718601e-01 ... 3.3805019e-08 4.4252911e-08
 2.8933776e-08]"
12,a group of people standing on a bench in a park.,"[7.9437861e-09 4.3759945e-05 9.9718601e-01 ... 3.3805019e-08 4.4252911e-08
 2.8933776e-08]"
13,a man is standing on a bench in a room.,"[6.1978951e-09 3.7236401e-05 9.9767703e-01 ... 2.5028976e-08 3.1605150e-08
 2.1318934e-08]"
14,a man is standing on a bench in a room.,"[6.1978951e-09 3.7236401e-05 9.9767703e-01 ... 2.5028976e-08 3.1605150e-08
 2.1318934e-08]"
15,a man is standing on a bench in a room.,"[6.1978951e-09 3.7236401e-05 9.9767703e-01 ... 2.5028976e-08 3.1605150e-08
 2.1318934e-08]"
16,a man is standing on a bench in a room.,"[6.1978951e-09 3.7236401e-05 9.9767703e-01 ... 2.5028976e-08 3.1605150e-08
 2.1318934e-08]"
17,a small white bird sitting on a wooden floor.,"[3.6536445e-09 2.4815999e-05 9.9821353e-01 ... 1.6234896e-08 1.7353370e-08
 1.2816604e-08]"
18,a small white bird sitting on a wooden floor.,"[3.6536445e-09 2.4815999e-05 9.9821353e-01 ... 1.6234896e-08 1.7353370e-08
 1.2816604e-08]"
19,a small white bird sitting on a wooden floor.,"[3.6536445e-09 2.4815999e-05 9.9821353e-01 ... 1.6234896e-08 1.7353370e-08
 1.2816604e-08]"
20,a bird is sitting on a wooden bench.,"[4.5187241e-09 2.6917820e-05 9.9794620e-01 ... 1.9222378e-08 2.1744366e-08
 1.5727528e-08]"
21,a bird is sitting on a wooden bench.,"[4.5187241e-09 2.6917820e-05 9.9794620e-01 ... 1.9222378e-08 2.1744366e-08
 1.5727528e-08]"
22,a bird is sitting on a wooden bench.,"[4.5187241e-09 2.6917820e-05 9.9794620e-01 ... 1.9222378e-08 2.1744366e-08
 1.5727528e-08]"
23,a man is standing on a bench in a park.,"[5.9797709e-09 4.3654505e-05 9.9755353e-01 ... 2.4318403e-08 3.0113590e-08
 1.9857682e-08]"
24,a man is holding a surfboard in the air.,"[5.9771357e-09 3.5293269e-05 9.9753618e-01 ... 2.6136302e-08 3.2139557e-08
 2.0861775e-08]"
25,a man is holding a surfboard in the air.,"[5.9771357e-09 3.5293269e-05 9.9753618e-01 ... 2.6136302e-08 3.2139557e-08
 2.0861775e-08]"
26,a person is sitting on a bed with a dog.,"[3.9296841e-09 3.0969099e-05 9.9804401e-01 ... 1.6909496e-08 1.7267624e-08
 1.3184334e-08]"
27,a person is sitting on a bed with a dog.,"[3.9296841e-09 3.0969099e-05 9.9804401e-01 ... 1.6909496e-08 1.7267624e-08
 1.3184334e-08]"
28,a person is sitting on a bed with a dog.,"[3.9296841e-09 3.0969099e-05 9.9804401e-01 ... 1.6909496e-08 1.7267624e-08
 1.3184334e-08]"
29,a person is sitting on a bed with a dog.,"[3.9296841e-09 3.0969099e-05 9.9804401e-01 ... 1.6909496e-08 1.7267624e-08
 1.3184334e-08]"
30,a man holding a tennis racket in a hand.,"[5.9434271e-09 3.8628397e-05 9.9751878e-01 ... 2.6978862e-08 3.5489435e-08
 2.1871246e-08]"
31,a man holding a tennis racket in a hand.,"[5.9434271e-09 3.8628397e-05 9.9751878e-01 ... 2.6978862e-08 3.5489435e-08
 2.1871246e-08]"
32,a man is standing on a surfboard in the water.,"[4.50061766e-09 3.49020847e-05 9.97578919e-01 ... 1.84232896e-08
 1.98799786e-08 1.41953365e-08]"
33,a man is standing on a surfboard in the water.,"[4.50061766e-09 3.49020847e-05 9.97578919e-01 ... 1.84232896e-08
 1.98799786e-08 1.41953365e-08]"
34,a man is standing on a surfboard in the water.,"[4.50061766e-09 3.49020847e-05 9.97578919e-01 ... 1.84232896e-08
 1.98799786e-08 1.41953365e-08]"
35,a man is standing on a bench with a dog.,"[6.7500570e-09 3.2755281e-05 9.9743420e-01 ... 2.9399985e-08 3.7987526e-08
 2.4328855e-08]"
36,a man in a suit and tie is holding a cell phone.,"[3.6691492e-09 3.4984099e-05 9.9822527e-01 ... 1.4600275e-08 1.7910038e-08
 1.1715752e-08]"
37,a man in a suit and tie is holding a cell phone.,"[3.6691492e-09 3.4984099e-05 9.9822527e-01 ... 1.4600275e-08 1.7910038e-08
 1.1715752e-08]"
38,a man in a suit and tie is holding a cell phone.,"[3.6691492e-09 3.4984099e-05 9.9822527e-01 ... 1.4600275e-08 1.7910038e-08
 1.1715752e-08]"
39,a man is riding a skateboard down a street.,"[7.7752258e-09 4.0844989e-05 9.9720001e-01 ... 3.2908080e-08 4.2497938e-08
 2.7734277e-08]"
40,a man riding a skateboard down a ramp.,"[7.9737381e-09 2.8644339e-05 9.9711204e-01 ... 3.4134359e-08 3.9406984e-08
 2.9106035e-08]"
41,a man riding a skateboard down a ramp.,"[7.9737381e-09 2.8644339e-05 9.9711204e-01 ... 3.4134359e-08 3.9406984e-08
 2.9106035e-08]"
42,a man riding a skateboard down a ramp.,"[7.9737381e-09 2.8644339e-05 9.9711204e-01 ... 3.4134359e-08 3.9406984e-08
 2.9106035e-08]"
43,a man riding a skateboard down a ramp.,"[7.9737381e-09 2.8644339e-05 9.9711204e-01 ... 3.4134359e-08 3.9406984e-08
 2.9106035e-08]"
44,a man is surfing on a surfboard in the ocean.,"[4.19850466e-09 2.52837308e-05 9.97659206e-01 ... 1.82955873e-08
 1.88225666e-08 1.39236205e-08]"
45,a man is surfing on a surfboard in the ocean.,"[4.19850466e-09 2.52837308e-05 9.97659206e-01 ... 1.82955873e-08
 1.88225666e-08 1.39236205e-08]"
46,a man in a suit and tie is holding a cell phone.,"[3.28460836e-09 3.23381537e-05 9.98329699e-01 ... 1.28178987e-08
 1.51463038e-08 1.03906705e-08]"
47,a group of people standing around a table with a cake.,"[5.2908939e-09 2.5834941e-05 9.9793363e-01 ... 2.2474882e-08 2.5391422e-08
 1.9060947e-08]"
48,a group of people standing around a table with a cake.,"[5.2908939e-09 2.5834941e-05 9.9793363e-01 ... 2.2474882e-08 2.5391422e-08
 1.9060947e-08]"
49,a man is holding a cell phone in a room.,"[5.8808425e-09 3.7934180e-05 9.9769944e-01 ... 2.4601620e-08 3.1993611e-08
 2.0504713e-08]"
50,a man is holding a cell phone in a room.,"[5.8808425e-09 3.7934180e-05 9.9769944e-01 ... 2.4601620e-08 3.1993611e-08
 2.0504713e-08]"
51,a large white vase with a clock on it.,"[4.2784003e-09 2.1738073e-05 9.9800795e-01 ... 1.9365805e-08 2.0196179e-08
 1.5376875e-08]"
52,a large white vase with a clock on it.,"[4.2784003e-09 2.1738073e-05 9.9800795e-01 ... 1.9365805e-08 2.0196179e-08
 1.5376875e-08]"
53,a large white vase with a clock on it.,"[4.2784003e-09 2.1738073e-05 9.9800795e-01 ... 1.9365805e-08 2.0196179e-08
 1.5376875e-08]"
54,a man is holding a skateboard on a sidewalk.,"[7.5309723e-09 3.6588823e-05 9.9727720e-01 ... 3.2007776e-08 4.2277268e-08
 2.7106832e-08]"
55,a man is holding a skateboard on a sidewalk.,"[7.5309723e-09 3.6588823e-05 9.9727720e-01 ... 3.2007776e-08 4.2277268e-08
 2.7106832e-08]"
56,a group of people standing around a table with a large umbrella.,"[4.3238164e-09 2.3665982e-05 9.9800617e-01 ... 1.7914784e-08 2.1476591e-08
 1.5097966e-08]"
57,a man holding a tennis racquet on a tennis court.,"[5.2687139e-09 3.7385129e-05 9.9763584e-01 ... 2.3293525e-08 3.0969940e-08
 1.9078534e-08]"
58,a man is riding a skateboard on a ramp.,"[5.4784972e-09 3.6616053e-05 9.9749607e-01 ... 2.1612443e-08 2.6209381e-08
 1.8001577e-08]"
59,a bunch of bananas on a table with a glass of wine.,"[3.37155326e-09 1.90953506e-05 9.98018622e-01 ... 1.44806451e-08
 1.43319365e-08 1.12933582e-08]"
60,a man is walking down a street with a umbrella.,"[5.6809877e-09 3.0750361e-05 9.9737942e-01 ... 2.4241642e-08 2.6180887e-08
 1.8766071e-08]"
61,a man is walking down a street with a umbrella.,"[5.6809877e-09 3.0750361e-05 9.9737942e-01 ... 2.4241642e-08 2.6180887e-08
 1.8766071e-08]"
62,a group of people standing around a bench.,"[9.3178230e-09 3.4921020e-05 9.9712223e-01 ... 4.0616538e-08 5.2992544e-08
 3.5322198e-08]"
63,a group of people standing around a bench.,"[9.3178230e-09 3.4921020e-05 9.9712223e-01 ... 4.0616538e-08 5.2992544e-08
 3.5322198e-08]"
64,a group of people standing around a bench.,"[9.3178230e-09 3.4921020e-05 9.9712223e-01 ... 4.0616538e-08 5.2992544e-08
 3.5322198e-08]"
65,a group of people standing around a bench.,"[9.3178230e-09 3.4921020e-05 9.9712223e-01 ... 4.0616538e-08 5.2992544e-08
 3.5322198e-08]"
66,a man in a suit and tie is standing in a room.,"[4.2090442e-09 3.4409459e-05 9.9819499e-01 ... 1.6246180e-08 1.9539566e-08
 1.3648102e-08]"
67,a man in a suit and tie is standing in a room.,"[4.2090442e-09 3.4409459e-05 9.9819499e-01 ... 1.6246180e-08 1.9539566e-08
 1.3648102e-08]"
68,a man in a suit and tie is standing in a room.,"[4.2090442e-09 3.4409459e-05 9.9819499e-01 ... 1.6246180e-08 1.9539566e-08
 1.3648102e-08]"
69,a group of people sitting on a couch with a laptop.,"[4.7673017e-09 2.6339596e-05 9.9798810e-01 ... 1.9067915e-08 2.3243336e-08
 1.6221852e-08]"
70,a man holding a cell phone in a room.,"[5.4264904e-09 3.3568253e-05 9.9782193e-01 ... 2.3464930e-08 2.9407262e-08
 1.9501664e-08]"
71,a man holding a cell phone in a room.,"[5.4264904e-09 3.3568253e-05 9.9782193e-01 ... 2.3464930e-08 2.9407262e-08
 1.9501664e-08]"
72,a man holding a cell phone in a room.,"[5.4264904e-09 3.3568253e-05 9.9782193e-01 ... 2.3464930e-08 2.9407262e-08
 1.9501664e-08]"
73,a man holding a cell phone in a room.,"[5.4264904e-09 3.3568253e-05 9.9782193e-01 ... 2.3464930e-08 2.9407262e-08
 1.9501664e-08]"
74,a man holding a cell phone in a hand.,"[6.3567507e-09 3.7394799e-05 9.9763036e-01 ... 2.7966371e-08 3.5361708e-08
 2.2931831e-08]"
75,a man holding a cell phone in a hand.,"[6.3567507e-09 3.7394799e-05 9.9763036e-01 ... 2.7966371e-08 3.5361708e-08
 2.2931831e-08]"
76,a man is holding a cell phone on a sidewalk.,"[6.6036674e-09 4.1714480e-05 9.9741435e-01 ... 2.7200009e-08 3.5191977e-08
 2.2792745e-08]"
77,a man is riding a horse in a park.,"[6.0688534e-09 4.1936339e-05 9.9740297e-01 ... 2.5244097e-08 3.0003164e-08
 2.0638677e-08]"
78,a man is riding a horse in a park.,"[6.0688534e-09 4.1936339e-05 9.9740297e-01 ... 2.5244097e-08 3.0003164e-08
 2.0638677e-08]"
79,a man riding a horse in the water.,"[5.4379181e-09 2.7114074e-05 9.9741459e-01 ... 2.2909777e-08 2.4576542e-08
 1.8435438e-08]"
80,a man riding a horse in the water.,"[5.4379181e-09 2.7114074e-05 9.9741459e-01 ... 2.2909777e-08 2.4576542e-08
 1.8435438e-08]"
81,a close up of a person holding a hot dog.,"[3.7166534e-09 3.4130400e-05 9.9807560e-01 ... 1.8340197e-08 1.7227377e-08
 1.2844418e-08]"
82,a close up of a person holding a hot dog.,"[3.7166534e-09 3.4130400e-05 9.9807560e-01 ... 1.8340197e-08 1.7227377e-08
 1.2844418e-08]"
